cidade,legislacao,area,pop,idh,pib
Adrianópolis,Lei Est n 1109695,134934,5983,0667 medio,105901
Agudos do Sul,Lei Est n 1212598,192228,9269,0660 medio,119464
Almirante Tamandare,Lei Compl Fed n 1473,195145,117168,0699 medio,1106562
Araucária,Lei Compl Fed n 1473,469166,141410,0740 alto,7360425
Balsa Nova,Lei Compl Fed n 1473396914,12787,0696 medio,555836
Bocaiúva do Sul,Lei Compl Fed n 1473,826344,12755,0640 medio,153199
Campina Grande do Sul,Lei Compl Fed n 1473,539861,42880,0718 alto,987480
Campo do Tenente,Lei Compl Est n 13911,304489,7894,0686 medio,153896
Campo Largo,Lei Compl Fed n 1473,124942,130091,0745 alto,3482715
Campo Magro,Lei Est n 1109695,275466,28885,0701 alto,279062
Cerro Azul,Lei Est n 1102794,134119,17725,0573 baixo,204174
Colombo,Lei Compl Fed n 1473,198007,240840,0733 alto,3796353
Contenda,Lei Compl Fed n 1473,299037,18326,0681 medio,244204
Curitiba,Lei Compl Fed n 1473,434967,1917185,0823 muito alto,Nan
Doutor Ulysses,Lei Est n 1102794,781447,5609,0546 baixo,53677
Fazenda Rio Grande,Lei Est n 1102794,116676,98368,0720 alto,1330723
Itaperuçu,Lei Est n 1102794,312382,28187,0637 medio,416764
Lapa,Lei Est n 1351202,204589,47909,0706 alto,1157893
Mandirituba,Lei Compl Fed n 1473,379179,26411,0655 medio,507614
Piên,Lei Compl Est n 13911,254903,12606,0694 medio,587940
Pinhais,Lei Est n 1102794,61007,130789,0751 alto,4947752
Piraquara,Lei Compl Fed n 1473,22756,111052,0700 alto,1083156
Quatro Barras,Lei Compl Fed n 1473,179538,23199,0742 alto,1548781
Quitandinha,Lei Est n 1102794,447023,18873,0680 medio,258842
Rio Branco do Sul,Lei Compl Fed n 1473,814361,32273,0679 medio,1026545
Rio Negro,Lei Compl Est n 13911,603246,33922,0760 alto,858233
São Jose dos Pinhais,Lei Compl Fed n 1473,945717,317476,0758 alto,0
Tijucas do Sul,Lei Est n 1102794,672197,16646,0636 medio,362860
Tunas do Paraná,Lei Est n 1102794,668481,8509,0611 medio,88324
