clube,ano,gols_pro,gols_contra
coritiba,2010,114,65
coritiba,2011,142,65
coritiba,2012,129,91
coritiba,2013,103,73
coritiba,2014,74,68
coritiba,2015,71,72
coritiba,2016,93,71
coritiba,2017,72,64
coritiba,2018,60,63
coritiba,2019,71,46
athletico-pr,2010,95,63
athletico-pr,2011,99,96
athletico-pr,2012,131,63
athletico-pr,2013,118,86
athletico-pr,2014,78,76
athletico-pr,2015,79,73
athletico-pr,2016,78,54
athletico-pr,2017,81,83
athletico-pr,2018,113,60
athletico-pr,2019,103,62
parana,2010,81,62
parana,2011,79,88
parana,2012,101,75
parana,2013,87,61
parana,2014,68,57
parana,2015,53,60
parana,2016,66,74
parana,2017,84,43
parana,2018,34,71
parana,2019,54,45
