month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2019-07,Alabama,33116,865,8711,5851,410,353,0,19,14,1,1525,854,4,0,0,0,0,0,20,9,4,0,1,0,51757
2019-07,California,27930,0,30400,20830,3485,0,6259,0,0,0,382,242,4,0,0,0,0,0,0,0,0,0,0,0,89532
2019-07,Kentucky,1627,301200,8059,4658,370,451,0,34,14,1,1680,1115,1,17,14,0,0,0,21,7,0,0,1,0,319270
2019-07,New York,3060,2435,7051,8051,1055,214,0,0,1,0,26,30,0,31,66,1,1,4,245,175,12,4,8,1,22471
2019-07,Oregon,4178,765,11746,7572,0,6,3,0,0,0,0,0,0,164,59,0,0,0,0,0,0,0,0,0,24493
2019-07,Texas,21477,0,34215,21520,3002,1887,2,71,46,5,5676,3098,34,63,4,0,0,0,43,32,5,1,1,1,91183
2019-06,Alabama,28449,499,6947,4521,298,432,0,19,14,2,1004,686,4,0,0,0,0,0,10,11,1,0,0,1,42898
2019-06,California,39303,0,38712,27050,4856,0,5040,0,0,0,578,437,11,0,0,0,0,0,0,0,0,0,0,0,115987
2019-06,Kentucky,150731,202171,8520,4608,384,514,5,23,14,1,1588,995,1,18,19,0,0,0,14,14,1,0,1,0,369622
2019-06,New York,2954,2231,7400,9047,1092,191,0,0,2,2,38,44,7,20,53,0,1,5,301,208,21,10,8,1,23636
2019-06,Oregon,4341,477,12046,8124,0,6,1,0,0,0,0,0,0,139,50,1,0,0,0,0,0,0,0,0,25185
2019-06,Texas,25136,0,37592,22608,3351,4335,2,61,46,2,5591,2851,32,59,3,0,0,0,58,19,9,3,2,2,101762
